,Mean,Entropy,Skewness,Contrast,Correlation,Class
0,6.53533935546875,0.109059009370733,4.27647702615029,98.6139705882353,0.981938696883038,0
2,7.34109497070313,0.001466811014785,5.06175041156417,81.8672059319178,0.978013692812984,1
4,7.31523132324219,0.146760595840014,4.28322090823909,174.988755980861,0.972788726424128,0
5,7.52410888671875,0.214085625648148,3.7298861207408,105.077881619938,0.976484963476823,0
6,12.3044128417969,0.128833098715211,2.9300947326401,115.203118415508,0.974745237490247,0
7,15.9294738769531,0.107657590137778,2.48400219180961,94.8742884250474,0.976774223350244,0
8,19.9216156005859,0.094975456825205,2.12917301078744,93.8189200947455,0.974310317140636,0
9,8.4761962890625,0.003001891105522,4.36499992307425,72.5887826961771,0.967829699641667,1
10,9.80461120605469,0.002436208884111,3.87272769515841,66.2854623824451,0.968749847385631,1
11,12.3267822265625,0.003768576062697,3.62397773230122,165.48479064774,0.958601276832679,1
12,10.1934661865234,0.009774474664878,3.3591346679549,110.568642951252,0.94688413919156,1
13,7.15631103515625,0.081825463381282,3.17978135268035,122.402663706992,0.938238114620825,0
15,12.7739410400391,0.002234181297473,3.19546227544347,84.6641020646669,0.974600382581462,1
16,15.3175201416016,0.004807546478788,2.8348341995126,102.248415081748,0.959732931338742,1
17,6.24671936035156,0.121085178908281,3.80588348238662,95.8585051546392,0.972072472365839,0
18,5.45042419433594,0.112746337643048,3.76510753045326,63.1847713097713,0.973650519195914,0
19,8.333740234375,0.204901687523465,3.078875173646,71.2095776163573,0.972399836645953,0
20,6.33952331542969,0.069965443628399,3.18084933788769,92.8457098884186,0.935662144202623,0
23,6.5928955078125,0.20487570123203,3.43867459921623,73.9572413793104,0.97101475703432,0
25,7.48370361328125,0.001379887976487,4.36895123932326,83.9136363636364,0.965808788787885,1
26,1.11947631835938,0.394538600726663,7.72665146314433,188.909200968523,0.8912075439539,0
27,5.66337585449219,0.068329502091364,4.23153729788629,109.319492158327,0.966815112603084,0
28,8.18742370605469,0.244744381624757,3.34765889990514,78.9760244115083,0.976762481230574,0
29,15.8574371337891,0.193005978690766,2.2430917253826,66.4295302013423,0.980139639065765,0
32,14.8333282470703,0.039451306783101,3.21695453019285,101.585129068462,0.963876610985663,1
34,2.01408386230469,0.135643967735047,4.4987598846542,20.6476702508961,0.969934358022091,0
35,2.47067260742187,0.272505186758596,3.9651965840965,13.2064096817571,0.980842234751223,0
36,4.96638488769531,0.019947374971709,3.48398972665121,29.5013513513514,0.956588782592704,1
37,3.0794677734375,0.144366448301718,3.86267468078484,35.0960045990227,0.961676827767483,0
38,7.73138427734375,0.078340827969124,2.22860131750742,28.2470708679331,0.94976758778731,0
40,3.94354248046875,0.093945496966986,3.14864123293881,34.1087965461414,0.941313634736969,0
41,1.11787414550781,0.203139334428764,5.95968401612157,64.5859619210003,0.909452751379984,0
42,7.75816345214844,0.226579735728143,3.36811594528375,92.0108391608392,0.973938605181652,0
43,12.1353302001953,0.17529884258129,2.72086649526086,93.941475826972,0.973854513083687,0
44,17.5005798339844,0.118040038926235,2.22385719284992,80.3682653061224,0.977246371410414,0
45,20.1002197265625,0.116310868748084,2.01428703299072,90.7512477016023,0.973051881838064,0
46,3.62068176269531,0.138281289379356,4.26570792942575,101.763749260792,0.937041702772759,0
